date,home_team,away_team,stage,city,neutral
2026-06-28,South Africa,Canada,round_of_32,Inglewood,True
2026-06-29,Germany,Paraguay,round_of_32,Foxborough,True
2026-06-29,Netherlands,Morocco,round_of_32,Guadalupe,True
2026-06-29,Brazil,Japan,round_of_32,Houston,True
2026-06-30,France,Sweden,round_of_32,East Rutherford,True
2026-06-30,Ivory Coast,Norway,round_of_32,Arlington,True
2026-07-01,United States,Bosnia and Herzegovina,round_of_32,Santa Clara,True
2026-06-30,Mexico,Ecuador,round_of_32,Mexico City,True
2026-07-01,England,DR Congo,round_of_32,Atlanta,True
2026-07-01,Belgium,Senegal,round_of_32,Seattle,True
2026-07-02,Spain,Austria,round_of_32,Inglewood,True
2026-07-02,Portugal,Croatia,round_of_32,Toronto,True
2026-07-02,Switzerland,Algeria,round_of_32,Vancouver,True
2026-07-03,Argentina,Cape Verde,round_of_32,Miami Gardens,True
2026-07-03,Australia,Egypt,round_of_32,Arlington,True
2026-07-03,Colombia,Ghana,round_of_32,Kansas City,True
