generated_at,player,team,goal_share,expected_matches,expected_goals
2026-06-11,Harry Kane,England,0.3255066349734258,5.834200000000001,4.137362614954126
2026-06-11,Lionel Messi,Argentina,0.2615934358324769,6.143000000000001,3.634896323158084
2026-06-11,Cristiano Ronaldo,Portugal,0.2916389178716767,5.378,3.5435666904233774
2026-06-11,Kylian Mbappé,France,0.2764520997816677,5.4928,3.2138989310807955
2026-06-11,Erling Haaland,Norway,0.4385618209429633,4.164,3.089812552783164
2026-06-11,Lautaro Martínez,Argentina,0.1950835125920989,6.143000000000001,2.710726820698564
2026-06-11,Mikel Oyarzabal,Spain,0.138469758221003,6.1792,2.2389354590705777
2026-06-11,Luis Díaz,Colombia,0.2078163169865964,5.1298,2.1389955962146123
2026-06-11,Enner Valencia,Ecuador,0.3319778774886252,4.6722,2.130808447797952
2026-06-11,Memphis Depay,Netherlands,0.1936968385327417,5.0316,2.038902345645325
2026-06-11,Mohamed Salah,Egypt,0.3818499743664751,4.0554,1.855172083826322
2026-06-11,Romelu Lukaku,Belgium,0.21098726535554,4.8966,1.841315944340325
2026-06-11,Mehdi Taremi,Iran,0.2629520945984918,4.3988,1.8034407985553709
2026-06-11,Mikel Merino,Spain,0.1041663823026656,6.1792,1.6842797299343086
2026-06-11,Andrej Kramarić,Croatia,0.1969235311798781,4.709,1.595668766376049
2026-06-11,Ferran Torres,Spain,0.0970235517909688,6.1792,1.5687863780556637
2026-06-11,Bruno Fernandes,Portugal,0.1282291164074988,5.378,1.558051404661873
2026-06-11,Cody Gakpo,Netherlands,0.1451980971168264,5.0316,1.528392218671617
2026-06-11,Viktor Gyökeres,Sweden,0.2912050213575467,3.597,1.4807571772040482
2026-06-11,Sardar Azmoun,Iran,0.2101065706637019,4.3988,1.4410030167588193
2026-06-11,Ayoub El Kaabi,Morocco,0.1769875605745792,5.138400000000001,1.439028531549558
2026-06-11,Raphinha,Brazil,0.1223639435497287,5.6642,1.436208942565603
2026-06-11,Álvaro Morata,Spain,0.0866006709632106,6.1792,1.4002574676946788
2026-06-11,Son Heung-min,South Korea,0.2265263732527054,4.0818,1.3909289336218078
2026-06-11,Neymar,Brazil,0.1136992892116164,5.6642,1.3345102420854302
2026-06-11,Marko Arnautović,Austria,0.2415333906447008,3.9324,1.3277098107661696
2026-06-11,Breel Embolo,Switzerland,0.1555748616349371,4.6772,1.2774350432154205
2026-06-11,Mohamed Amoura,Algeria,0.1997283460758656,4.1028,1.2301017261003278
2026-06-11,Sadio Mané,Senegal,0.1921814145794632,4.324,1.224586617617235
2026-06-11,Brahim Díaz,Morocco,0.1501133101605765,5.138400000000001,1.2205227055795946
2026-06-11,Kevin De Bruyne,Belgium,0.1387737201293964,4.8966,1.2110980399650462
2026-06-11,Jonathan David,Canada,0.1796148378967435,4.5058,1.191887757988535
2026-06-11,Aymen Hussein,Iraq,0.3200911872105753,3.4254,1.1656507169812944
2026-06-11,Yazan Al-Naimat,Jordan,0.2454581641814983,3.5092,1.1370074443351446
2026-06-11,Ayase Ueda,Japan,0.1208640726913313,4.9164,1.1299071733734258
2026-06-11,Raúl Jiménez,Mexico,0.1595287066417685,4.7836,1.1161226663831283
2026-06-11,Alexander Sørloth,Norway,0.1545191494953245,4.164,1.0886383286385626
2026-06-11,Vinícius Júnior,Brazil,0.0917221322111664,5.6642,1.0765601589109122
2026-06-11,Scott McTominay,Scotland,0.2079761437762196,3.8444,1.0673021745853173
2026-06-11,Luis Suárez,Colombia,0.1018557098433102,5.1298,1.0483725145519054
2026-06-11,James Rodríguez,Colombia,0.0992919632740866,5.1298,1.0219845836093449
2026-06-11,Darwin Núñez,Uruguay,0.1333921697465172,4.882,1.008784988488818
2026-06-11,Almoez Ali,Qatar,0.2675926715757729,3.4694,1.0021665820151715
2026-06-11,Kerem Aktürkoğlu,Turkey,0.1560940143096872,3.9902,0.9985372792702952
2026-06-11,Serge Gnabry,Germany,0.0870237492594651,5.2276,0.99399732734828
2026-06-11,Ismael Díaz,Panama,0.189514397958834,3.7,0.989659503824059
2026-06-11,Ivan Perišić,Croatia,0.1220503417677782,4.709,0.9889723037033668
2026-06-11,Ali Olwan,Jordan,0.2133366747700447,3.5092,0.988214786711625
2026-06-11,Riyad Mahrez,Algeria,0.1598699552327196,4.1028,0.9846189173801688
2026-06-11,Giorgian de Arrascaeta,Uruguay,0.1292131766749896,4.882,0.9771811433338372
2026-06-11,Edin Džeko,Bosnia and Herzegovina,0.30767560692209,3.381,0.9555785233891398
2026-06-11,Bukayo Saka,England,0.0749558585861124,5.834200000000001,0.9527288656075716
2026-06-11,Takumi Minamino,Japan,0.1011648815929155,4.9164,0.945747754977868
2026-06-11,Lucas Paquetá,Brazil,0.0803723756497052,5.6642,0.9433459015354247
2026-06-11,Musa Al-Taamari,Jordan,0.2027136987949122,3.5092,0.939007204617155
2026-06-11,Kai Havertz,Germany,0.0816941154559736,5.2276,0.9331215112463964
2026-06-11,Dani Olmo,Spain,0.0571109263915226,6.1792,0.9234339673957396
2026-06-11,Duckens Nazon,Haiti,0.2733557676690112,3.2064,0.9161124076089836
2026-06-11,Julián Alvarez,Argentina,0.0657348133828864,6.143000000000001,0.9133991864457648
2026-06-11,Julián Álvarez,Argentina,0.0649139415024963,6.143000000000001,0.9019929974092606
2026-06-11,Florian Wirtz,Germany,0.0788550062659966,5.2276,0.9006928125187315
